Game Name;Release Name;Package Name;Version Code;Last Updated;Size (MB)
CarX Rally VR;CarX Rally VR v18501+18501 -VRP;com.carxtech.rally;18501;2023-10-26 14:15 UTC;600
Case Files- The Death of Paulette Williams;Case Files- The Death of Paulette Williams v23+1.06 -VRP;com.TTMG.CaseFiles_Quest;23;2023-08-17 12:21 UTC;783
Catan VR;Catan VR v11842+1.1.842 -VRP R2;com.Experiment7.Aurora;11842;2023-04-17 17:41 UTC;231
Catbusters;Catbusters v133+1.2.133 -VRP;com.tekotronics.catbusters;133;2023-08-16 18:42 UTC;138
Cave Digger;Cave Digger v72+2.18 -VRP;com.mekiwi.cavedigger;72;2023-04-28 17:58 UTC;334
Cave Digger 2- Dig Harder;Cave Digger 2- Dig Harder v100497+1.1.12.8 -VRP;com.mekiwi.cavedigger2AppLab;100497;2023-05-05 11:13 UTC;911
Channel Player;Channel Player v128+128 -VRP;com.Applet_LLC.Channel_Player;128;2023-08-15 21:05 UTC;103
Cherry VX;Cherry VX v1+0.94 -f95zone [ADULT];com.Polybay.CherryVX;1;2023-03-09 12:57 UTC;464
chess;chess v312+3.12 -VRP;com.chess.vr.strategy.puzzle;312;2023-09-04 13:24 UTC;601
Chess Club;Chess Club v10813+1.8.13 -VRP;com.odders.livechess;10813;2023-06-11 12:50 UTC;746
Chosun Zombie Defense;Chosun Zombie Defense v30+0.4.2+AO -VRP;com.geniesoft.czd;30;2023-05-08 20:40 UTC;1852
Chunky Orbits;Chunky Orbits v1+0.94 -VRP;com.BrainBlinks.ChunkyOrbitsQuest;1;2023-03-09 12:57 UTC;88
Chupa Chupa VR;Chupa Chupa VR v1+2.0 -VRP;com.kan.kikuchi.ChupaChupaVR;1;2023-03-09 12:57 UTC;633
Circle1- VR Disc Golf;Circle1- VR Disc Golf v401+0.4.1 -VRP;com.HitLabs.Circle1;401;2023-08-16 18:42 UTC;172
Cirque du Soleil;Cirque du Soleil v1001020+1.01.20 -VRP R2;com.felixandpaul.quest.cds_portal;1001020;2023-04-17 17:42 UTC;72
Cities- VR;Cities- VR v502+1.00.502 -VRP;com.fasttravelgames.mascot;502;2023-06-26 13:34 UTC;2777
City Avenger;City Avenger v2+1.0.1 -unknown;com.Chesstar.CityAvenger.itch;2;2023-03-09 12:57 UTC;97
City Run VR;City Run VR v1+1.0 -VRP;com.oculus.CityRunVR;1;2023-08-16 18:42 UTC;402
Clash of Chefs VR;Clash of Chefs VR v43+1.1.10 -VRP;com.flathillgames.clashofchefsvr;43;2023-07-18 16:18 UTC;834
CLASHBOWL;CLASHBOWL v479+2.1.295 -VRP;com.proeminentcode.mafiabowling;479;2023-04-22 13:10 UTC;2808
Clay Hunt VR;Clay Hunt VR v307+1.3.9.1 -VRP;com.shotgungaming.clayhuntvr;307;2023-10-27 13:16 UTC;1005
CleanSheet;CleanSheet v242+2023.3.2RC -VRP;com.INCISIV.CS_Oculus;242;2023-10-27 13:16 UTC;908
Cleric and Goblins;Cleric and Goblins v21+1.8 -VRP R2;com.CafeSingularity.GoblinGame;21;2023-04-14 17:07 UTC;626
CLIMB FOR YOUR LIFE;CLIMB FOR YOUR LIFE v12+1.2 -VRP R2;com.bandn.climb;12;2023-04-25 12:44 UTC;316
Cloudlands 2;Cloudlands 2 v35+1.31 -VRP;com.Futuretown.Cloudlands2;35;2023-04-17 17:43 UTC;307
Coaster Combat;Coaster Combat v708443+1.0 -VRP;com.forcefieldxr.coastercombatquest;708443;2023-06-18 04:07 UTC;1146
CoasterMania;CoasterMania v51+.18b -VRP;com.FourthWallStudios.CoasterMania;51;2023-10-26 14:15 UTC;603
Code Sex One;Code Sex One v1+1.72 -VRP;com.BrittanyFactory.CodeSexOne;1;2023-03-09 12:57 UTC;339
Coffee Shop Simulator VR;Coffee Shop Simulator VR v139+1.3.9 -VRP;com.BENDISGames.CoffeeShopSimulatorVR;139;2023-07-25 12:31 UTC;891
Coffin Rot Brewing Co.;Coffin Rot Brewing Co. v16+1.0.16 -VRP R2;com.NoonerBearStudio.CoffinRotBrewingCo;16;2023-04-17 17:43 UTC;236
Color Connect;Color Connect v66+2.1.1 -NIF;com.DevMattSanders.ColourConnectVR;66;2023-03-22 14:18 UTC;789
Color Space;Color Space v328+1.6.1 -VRP;us.lighthaus.colorspace;328;2023-04-17 17:44 UTC;1004
Colorball;Colorball v32+0.6.2 -VRP;at.AppScore.Colorball;32;2023-04-17 17:44 UTC;1034
Colossal Cave;Colossal Cave v10051+1.0051 -VRP;com.CygnusEntertainment.ColossalCave3DAdventure;10051;2023-08-25 14:56 UTC;3304
ComeCloser;ComeCloser v1+0.13 -VRP;com.ComeCloserTeam.ComeCloser;1;2023-03-09 12:57 UTC;1488
COMPOUND;COMPOUND v10+1.0.9 -VRP;com.notdead.COMPOUNDQUEST;10;2023-09-28 11:31 UTC;245
Conscious Existence - A Journey Within;Conscious Existence - A Journey Within v10+1.0.9.2 -VRP;com.EpicScapes.ConsciousExistenceVR;10;2023-06-05 12:53 UTC;508
Containment Initiative- Recon;Containment Initiative- Recon v6+1.1 -VRP;com.GwynGames.ContainmentInitiativeRecon;6;2023-09-15 11:03 UTC;1990
Contour;Contour v35+0.5.5 -VRP;com.DDXR.Contour;35;2023-10-07 18:29 UTC;43
Contractors;Contractors v165+3.9 -VRP;com.CaveManStudio.ContractorsVR;165;2023-08-14 14:17 UTC;10159
Control Tower VR;Control Tower VR v23+0.71 -VRP;com.DigitalEmergence.ControlTower_Alpha;23;2023-08-16 18:42 UTC;232
Cook-Out;Cook-Out v115233293+1.15.233293-release -VRP;com.resolutiongames.cookinggame;115233293;2023-10-29 14:13 UTC;649
Cookie Gardening;Cookie Gardening v254+2.54 -VRP;com.KnipscherInteractive.CookieGardening;254;2023-04-20 11:33 UTC;346
Cooking Adventure VR- Tycoon;Cooking Adventure VR- Tycoon v1+1.0 -VRP;com.STOICEnt.CookingAdventure;1;2023-08-16 18:42 UTC;930
